Slno,Client_ID,Emp_NO,Transaction_Month,Transaction_Year,Processing_Month,Processing_Year,Pay_Type,Invoice_No,Release_Date,NetPay_Amount,UTR_Number,Debit_Date
3,070DL,1358758,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,14729,'204260374537,27-Apr-22
5,070DL,1780686,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,26455,'204260374592,27-Apr-22
7,070DL,1885207,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,47052,'204260374628,27-Apr-22
8,070DL,1929428,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,1769,'204260374642,27-Apr-22
9,070DL,1935507,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,14769,'204260374667,27-Apr-22
11,070DL,1937248,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,16044,'204260374681,27-Apr-22
13,070DL,2200547,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,16943,'204260374705,27-Apr-22
14,070DL,2270412,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,16759,'204260374710,27-Apr-22
19,070DL,807239,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,16539,'204260374735,27-Apr-22
21,070DL,849368,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,24497,'204260374737,27-Apr-22
22,070DL,854317,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,18871,'204260374739,27-Apr-22
33,07PMB,1293461,4,2022,4,2022,RMB,TL36T2223/80,25-Apr-22,51800,,
45,07PMB,1514806,4,2022,4,2022,RMB,TL36T2223/80,25-Apr-22,42059,,
77,070DL,1157564,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,14744,'204260374530,27-Apr-22
84,070DL,1934099,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,14245,'204260374659,27-Apr-22
85,070DL,1936879,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,26293,'204260374670,27-Apr-22
86,070DL,2139856,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,16964,'204260374703,27-Apr-22
89,070DL,542579,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,9963,'204260374720,27-Apr-22
101,07PMB,1340449,4,2022,4,2022,RMB,TL07T2223/152,25-Apr-22,12393,,
120,07PMB,2016614,4,2022,4,2022,RMB,TL27T2223/497,25-Apr-22,13886,,
148,070DL,1134135,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,19517,'204260374529,27-Apr-22
149,070DL,1363826,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,10520,'204260374540,27-Apr-22
150,070DL,1366535,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,22831,'204260374542,27-Apr-22
152,070DL,1490596,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,14295,'204260374548,27-Apr-22
155,070DL,1893258,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,35937,'204260374630,27-Apr-22
157,070DL,1935506,4,2022,4,2022,RMB,TL29T2223/2142,27-Apr-22,1000,'204270800631,27-Apr-22
158,070DL,1937244,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,14971,'204260374674,27-Apr-22
159,070DL,2079317,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,42180,'204260374699,27-Apr-22
160,070DL,2202056,4,2022,4,2022,RMB,TL29T2223/2142,27-Apr-22,1000,'204270800652,27-Apr-22
161,070DL,2202056,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,13287,'204260374707,27-Apr-22
162,070DL,2335775,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,32164,'204260374712,27-Apr-22
164,070DL,764519,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,10010,'204260374731,27-Apr-22
170,07PMB,1015666,4,2022,4,2022,RMB,TL36T2223/80,25-Apr-22,18069,,
178,07PMB,1325597,4,2022,4,2022,RMB,TL27T2223/494,25-Apr-22,2490,,
228,070DL,1935506,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,18175,'204260374665,27-Apr-22
229,070DL,1937245,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,16044,'204260374676,27-Apr-22
230,070DL,1939038,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,20483,'204260374683,27-Apr-22
232,070DL,2204889,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,26784,'204260374709,27-Apr-22
233,070DL,2406412,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,7739,'204260374716,27-Apr-22
236,070DL,686219,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,10639,'204260374728,27-Apr-22
237,070DL,729563,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,25133,'204260374729,27-Apr-22
263,07PMB,2247881,4,2022,4,2022,OPP,TL33T2223/195,26-Apr-22,1089,'204269965122,26-Apr-22
272,07PMB,2273357,4,2022,4,2022,RMB,TL36T2223/80,25-Apr-22,19602,,
335,070DL,1263078,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,23743,'204260374534,27-Apr-22
337,070DL,1484678,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,29904,'204260374546,27-Apr-22
338,070DL,1490597,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,14978,'204260374550,27-Apr-22
342,070DL,1847772,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,30139,'204260374614,27-Apr-22
343,070DL,1929431,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,14376,'204260374646,27-Apr-22
344,070DL,1929438,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,18403,'204260374651,27-Apr-22
345,070DL,1934756,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,17755,'204260374660,27-Apr-22
346,070DL,1936879,4,2022,4,2022,RMB,TL29T2223/2142,27-Apr-22,1000,'204270800633,27-Apr-22
351,070DL,594630,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,10674,'204260374722,27-Apr-22
354,070DL,769749,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,38399,'204260374733,27-Apr-22
411,07PMB,1542841,4,2022,4,2022,OPP,TL27T2223/646,26-Apr-22,949,'204269965113,26-Apr-22
418,07PMB,1636117,4,2022,4,2022,RMB,TL27T2223/497,25-Apr-22,4659,,
438,070DL,1366583,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,29322,'204260374544,27-Apr-22
439,070DL,1490600,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,12992,'204260374554,27-Apr-22
441,070DL,1929434,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,14625,'204260374648,27-Apr-22
443,070DL,1929437,4,2022,4,2022,SAL,TL29T2223/2370,26-Apr-22,14376,'204260374650,27-Apr-22
450,070DL,769749,4,2022,4,2022,RMB,TL29T2223/2142,27-Apr-22,1000,'204270800687,27-Apr-22
454,07PMB,107686,4,2022,4,2022,RMB,TL07T2223/153,25-Apr-22,2300,,
464,07PMB,1353407,4,2022,4,2022,RMB,TL24T2223/124,25-Apr-22,10970,,
529,07PMB,1894826,4,2022,4,2022,RMB,TL27T2223/497,25-Apr-22,1500,,
533,07PMB,1909588,4,2022,4,2022,RMB,TL27T2223/497,25-Apr-22,25000,,
550,070DL,1195453,4,2022,4,2022,RMB,TL29T2223/2142,27-Apr-22,1000,'204270800584,27-Apr-22
